Stimulus,Timestamp,x,y
I04P1R4,1518614802246,4,0
I04P1R4,1518614802271,3,0
I04P1R4,1518614802427,2,0
I04P1R4,1518614802559,1,0
I04P1R4,1518614802791,2,0
I04P1R4,1518614803206,1,0
I04P1R4,1518614803854,2,0
I04P1R4,1518614803954,3,0
I04P1R4,1518614804351,2,0
I02P1R1,1518614811272,3,3
I02P1R1,1518614811457,4,3
I02P1R1,1518614811519,3,3
I09P1R4,1518614819514,2,1
I09P1R4,1518614819731,3,1
I09P1R4,1518614819864,2,1
I02P2R1,1518614826095,3,1
I02P2R1,1518614826101,3,0
I02P2R1,1518614826231,2,0
I02P2R1,1518614826516,1,0
I02P2R1,1518614826834,2,0
I10P2R2,1518614834116,2,7
I10P2R2,1518614834149,2,6
I10P2R2,1518614834200,2,5
I10P2R2,1518614834249,3,4
I10P2R2,1518614834298,2,4
I10P2R2,1518614834333,2,3
I10P2R2,1518614834380,2,2
I10P2R2,1518614834465,1,1
I10P2R2,1518614834616,1,2
I10P2R2,1518614834933,2,1
I10P2R2,1518614835162,2,0
I04P1R1,1518614842013,3,8
I04P1R1,1518614842158,2,7
I04P1R1,1518614842311,3,7
I04P1R1,1518614842528,2,7
I04P1R1,1518614842811,2,6
I04P1R1,1518614842927,2,5
I04P1R1,1518614843025,1,4
I04P1R1,1518614843076,1,5
I04P1R1,1518614843276,2,4
I04P1R1,1518614843375,2,3
I04P1R1,1518614843724,2,2
I04P1R1,1518614843804,2,3
I02P1R3,1518614850790,0,0
I09P1R1,1518614856579,1,8
I09P1R1,1518614856628,1,7
I09P1R1,1518614856696,0,7
I09P1R1,1518614856713,0,6
I09P1R1,1518614856828,0,5
I09P1R1,1518614856862,0,4
I09P1R1,1518614856912,0,3
I09P1R1,1518614856978,0,2
I09P1R1,1518614857077,0,1
I09P1R1,1518614857160,0,0
I09P1R1,1518614857542,1,0
I09P1R1,1518614857708,0,0
I10P1R3,1518614861756,0,1
I10P1R3,1518614861857,0,0
I10P1R3,1518614862124,1,0
I10P1R3,1518614862207,2,0
I10P1R3,1518614862393,1,0
I10P1R3,1518614862487,0,0
I10P1R3,1518614862569,1,0
I10P1R3,1518614862669,2,0
I10P1R3,1518614862760,3,0
I10P1R3,1518614862867,4,0
